ID,User Story,Acceptance Criteria
US-01,"As a staff member,
I want to log in with my username and password,
so that I can access the system with my assigned role.","Given I am on the login page,
When I enter a valid username and password and submit,
Then I receive a JWT token and am redirected to my role-specific dashboard."
US-02,"As a logged-in user,
I want to be automatically redirected to my role-specific dashboard after login,
so that I immediately see the tools relevant to my role.","Given I have just logged in,
When the login succeeds,
Then I am redirected to /admin, /doctor, /nurse, or /patient depending on my role."
US-03,"As a logged-in user,
I want to log out,
so that my session is cleared and no one else can access my account from this device.","Given I am logged in,
When I click the logout button,
Then my token and session data are removed and I am redirected to the login page."
US-04,"As a logged-in user,
I want my session to expire after 6 hours,
so that unattended sessions do not remain open.","Given I am logged in,
When 6 hours have passed since login,
Then my JWT token is no longer accepted and I am required to log in again."
US-05,"As a nurse or doctor,
I want to see a list of all patients with their name, gender, and CPR number,
so that I can quickly find who I am looking for.","Given I am logged in as a nurse or doctor,
When I open the patients tab,
Then I see a table listing all patients with first name, last name, gender, and CPR number."
US-06,"As a nurse or doctor,
I want to filter the patient list by first name, last name, gender, or CPR number,
so that I can narrow down large lists efficiently.","Given I am viewing the patient list,
When I type in a filter field for any column,
Then the list updates to show only patients matching the entered value."
US-07,"As a nurse or doctor,
I want to sort the patient list by any column,
so that I can organize the view the way I prefer.","Given I am viewing the patient list,
When I click a column header,
Then the list is sorted by that column in ascending order, and clicking again sorts it descending."
US-08,"As a nurse,
I want to click on a patient to open their detail page,
so that I can see their full visit history and treatments.","Given I am viewing the patient list,
When I click the View button on a patient row,
Then I am taken to that patient's detail page at /patients/{id}."
US-09,"As an admin,
I want to create a new patient record with their first name, last name, gender, and CPR number,
so that new patients are registered in the system.","Given I am logged in as admin,
When I fill in the patient form and submit,
Then a new patient record is created and appears in the patient list."
US-10,"As an admin,
I want to edit an existing patient's details,
so that records stay accurate over time.","Given I am logged in as admin,
When I edit a patient's fields and save,
Then the updated values are reflected in the patient list and detail page."
US-11,"As an admin,
I want to delete a patient record,
so that outdated or incorrect entries can be removed.","Given I am logged in as admin,
When I delete a patient,
Then that patient no longer appears in the list."
US-12,"As a patient,
I want to log in and see only my own record,
so that my personal data is protected from other patients.","Given I am logged in as a patient,
When I open my dashboard,
Then I see only my own name, gender, and CPR number and cannot access other patients' data."
US-13,"As a nurse,
I want to open a patient's detail page and see all their room bookings alongside the treatments given during each visit,
so that I have a complete picture of the patient's care history.","Given I am on a patient's detail page,
When the page loads,
Then I see a list of room bookings, each with the treatments that occurred within that booking's time window."
US-14,"As a nurse,
I want to see the full location of each visit,
so that I know exactly where the patient was treated.","Given I am on a patient's detail page,
When I look at a room booking entry,
Then I can see the building name, floor name, and room name for that booking."
US-15,"As a nurse,
I want to see treatments that are not linked to any room booking listed separately,
so that no treatment is missed in the overview.","Given I am on a patient's detail page,
When the patient has treatments outside any booking time window,
Then those treatments appear in an Other Treatments section."
US-16,"As a nurse,
I want to initiate a treatment for a patient by selecting the patient, entering a description, and optionally selecting a medication and dose,
so that treatment records are created in the system.","Given I am on the Give Treatment tab,
When I select a patient, enter a description, optionally select a medication and dose, and submit,
Then the form proceeds to the doctor sign-off step."
US-17,"As a nurse,
I want to be required to get a doctor's sign-off before a treatment is recorded,
so that treatments are always medically authorized.","Given I have filled in the treatment form,
When I submit it,
Then I am prompted to enter a doctor's username and password before the treatment is saved."
US-18,"As a nurse,
I want the treatment, prescription, and stock deduction to all happen at once when a treatment is given,
so that records stay consistent and nothing is missed.","Given the nurse submits a treatment with a medication and the doctor approves,
When the request is processed,
Then a treatment record, a prescription record, and a stock deduction are all created in a single atomic transaction."
US-19,"As a doctor,
I want to see all treatments in my dashboard,
so that I have an overview of ongoing care.","Given I am logged in as a doctor,
When I open the Treatments tab,
Then I see a list of all treatments with patient, description, and time."
US-20,"As a doctor,
I want to edit a treatment's patient, description, or time directly from the list,
so that I can correct errors without leaving the page.","Given I am viewing the treatments list,
When I click edit on a treatment,
Then I can update the patient, description, and time inline and save the changes."
US-21,"As a doctor,
I want to delete a treatment,
so that incorrectly created records can be removed.","Given I am viewing the treatments list,
When I click delete on a treatment and confirm,
Then that treatment is removed from the list."
US-22,"As an admin,
I want to view all prescriptions in the system,
so that I have a full audit trail of what has been prescribed.","Given I am logged in as admin,
When I open the Prescriptions tab,
Then I see a list of all prescriptions with medication, treatment, prescribed-by staff, and dose."
US-23,"As an admin,
I want to create, edit, and delete prescriptions manually,
so that records can be corrected if needed.","Given I am on the Prescriptions tab,
When I create, edit, or delete a prescription and save,
Then the change is reflected immediately in the list."
US-24,"As a nurse,
I want a prescription to be automatically created when I give a treatment with a medication,
so that I do not have to enter it separately.","Given a nurse gives a treatment with a medication selected,
When the doctor approves and the transaction completes,
Then a prescription record is automatically created linked to that treatment."
US-25,"As an admin,
I want to create a new medication with its name, generic name, brand, form, strength, category, and description,
so that the medication catalog stays complete.","Given I am on the Medications tab,
When I fill in all medication fields and submit,
Then the new medication appears in the catalog and is selectable when giving treatments."
US-26,"As an admin,
I want to edit and delete medications in the catalog,
so that the list stays accurate.","Given I am on the Medications tab,
When I edit or delete a medication and save,
Then the catalog reflects the updated or removed entry."
US-27,"As any logged-in user,
I want to see the list of available medications when giving a treatment,
so that I can select the right one.","Given I am filling in the Give Treatment form,
When I open the medication selector,
Then I see all medications from the catalog listed as options."
US-28,"As a nurse or doctor,
I want to view current stock levels for all medications,
so that I know what is available before planning treatment.","Given I am logged in as nurse or doctor,
When I open the Medication Storage tab,
Then I see each medication listed with its current stock amount."
